"","int","plant","BR_code","date_time","avg_leaf_temp","env_temp","spore","rep","plant_name","ASSYST","dpi","mean_temp","diff_temp","lf_vs_env"
"99","3.51","3","BR7-03124","2015-8-26 00:00:00",23.81144,23.74080268,"2","4","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,1.20943,-0.0706373199999994
"100","3.51","3","BR7-03131","2015-8-26 00:00:00",23.381,23.406,"3","1","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,0.77899,0.0249999999999986
"101","3.51","3","BR7-03122","2015-8-26 00:00:00",22.52428,23.47666667,"2","2","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,-0.077729999999999,0.952386669999999
"102","3.51","3","BR7-03123","2015-8-26 00:00:00",24.46744,23.60167224,"2","3","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,1.86543,-0.865767760000001
"103","3.51","3","BR7-03134","2015-8-26 00:00:00",24.70572,23.75953177,"3","4","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,2.10371,-0.946188230000001
"104","3.51","3","BR7-03114","2015-8-26 00:00:00",23.00188,23.65919732,"1","4","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,0.39987,0.657317320000001
"105","3.51","3","BR7-03121","2015-8-26 00:00:00",22.88696,23.39733333,"2","1","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,0.284949999999998,0.51037333
"106","3.51","3","BR7-03132","2015-8-26 00:00:00",22.70532,23.486,"3","2","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,0.10331,0.78068
"107","3.51","3","BR7-03113","2015-8-26 00:00:00",22.44064,23.5173913,"1","3","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,-0.161370000000002,1.0767513
"108","3.51","3","BR7-03133","2015-8-26 00:00:00",22.512,23.62173913,"3","3","Chinese cabbage Wong Bok","Sheff-003","51",22.60201,-0.0900099999999995,1.10973913
"109","4.30","4","BR7-04112","2015-8-5 00:00:00",19.80712,22.3,"1","2","Kale Ragged Jack","BnASSYST-209","30",19.8692,-0.0620799999999981,2.49288
"110","4.30","4","BR7-04113","2015-8-5 00:00:00",20.0342,22.3,"1","3","Kale Ragged Jack","BnASSYST-209","30",19.8692,0.164999999999999,2.2658
"111","4.30","4","BR7-04114","2015-8-5 00:00:00",19.85704,22.3,"1","4","Kale Ragged Jack","BnASSYST-209","30",19.8692,-0.012159999999998,2.44296
"112","4.30","4","BR7-04131","2015-8-5 00:00:00",19.97132,22.3,"3","1","Kale Ragged Jack","BnASSYST-209","30",19.8692,0.102119999999999,2.32868
"113","4.30","4","BR7-04132","2015-8-5 00:00:00",19.75408,22.3,"3","2","Kale Ragged Jack","BnASSYST-209","30",19.8692,-0.115120000000001,2.54592
"114","4.30","4","BR7-04133","2015-8-5 00:00:00",19.8836,22.3,"3","3","Kale Ragged Jack","BnASSYST-209","30",19.8692,0.014400000000002,2.4164
"115","4.30","4","BR7-04134","2015-8-5 00:00:00",20.0668,22.3,"3","4","Kale Ragged Jack","BnASSYST-209","30",19.8692,0.197600000000001,2.2332
"116","4.30","4","BR7-04111","2015-8-5 00:00:00",19.77844,22.3,"1","1","Kale Ragged Jack","BnASSYST-209","30",19.8692,-0.0907599999999995,2.52156
"117","4.30","4","BR7-04121","2015-8-5 00:00:00",20.23312,22.3,"2","1","Kale Ragged Jack","BnASSYST-209","30",19.8692,0.36392,2.06688
"118","4.30","4","BR7-04122","2015-8-5 00:00:00",20.16088,22.3,"2","2","Kale Ragged Jack","BnASSYST-209","30",19.8692,0.291679999999999,2.13912
